Fecha,Usuario,COP/Kwh-PPP,Gwh
2003-12-01,Regulados,77.1449484489754,2469.93136307
2003-12-01,NoRegulados,68.68008628330603,1553.7305982099995
2004-01-01,Regulados,78.5685346285518,2386.9201053099987
2004-01-01,NoRegulados,62.603655558924324,1448.71091325
2004-02-01,Regulados,79.65641985785625,2303.2670625
2004-02-01,NoRegulados,63.86270190711063,1466.6300884000002
2004-03-01,Regulados,80.10214362813237,2459.7716800100006
2004-03-01,NoRegulados,64.47336267547408,1591.4724479400006
2004-04-01,Regulados,79.74068742589427,2351.7753460799995
2004-04-01,NoRegulados,64.64212214755622,1491.3042536099997
2004-05-01,Regulados,78.77104087082303,2375.9892596299997
2004-05-01,NoRegulados,62.764307316216204,1670.1879637699994
2004-06-01,Regulados,78.1578354249657,2280.41397622
2004-06-01,NoRegulados,63.136660133324035,1511.2889593799991
